,text
488,ABC says it has suspended reporter Matt Gutman for incorrectly reporting that all four of Kobe Bryant’s children were with him in the helicopter crash north of Los Angeles on Sunday that killed the basketball star and eight others.
489,"Since last June, nine cities, most in East Texas, have passed similar resolutions. Abortion rights advocates warn that the ordinances may make people think abortion is illegal."
490,It all started with a fender bender.
491,How Chiefs WR Mecole Hardman quizzed Bill Belichick on pre-draft visit http://bhne.ws/pI5bDgg
492,Territorial reported that its income tax expense last quarter was $1.15 million at an 18.54% rate compared with $1.74 million at a 27.23% rate in the year-ago quarter.
493,"H-Power exceeded the allotted amount of total dissolved solids in the recirculation water it uses in its cooling towers, the state said."
494,"Bernie Sanders turns to the Squad for far-left boost, to Trump’s delight http://bhne.ws/O3osuIv"
495,"Elk Grove Village will reimburse a hotel developer in the Elk Grove Technology Park a portion of taxes over 12 years, under terms of a deal struck this week."
496,The Dubs lacked energy in another losing effort.
497,"A Berkeley man was in county jail Thursday after authorities seeking him in connection with a bank robbery arrested him in connection with other robberies, authorities said."
498,"Jack Phillips, who runs the Masterpiece Cakeshop in suburban Denver, became known nationally in 2012 after he cited religious objections in declining the request of two men who wanted a cake celebrating their marriage."
499,Shutdown will allow Cal Fire to remove brush and reduce risk of wildfire along roadway
500,Shutdown will allow Cal Fire to remove brush and reduce risk of wildfire along roadway
501,What is this “stormwater utility” they are talking about (808ne.ws/128b3 … We’re already (paying) the Honolulu Board of Water Supply for our drinking water and the city for our sewer fees.
502,Flights from China keep landing at Logan Airport http://bhne.ws/ZxoK8Hu
503,Are we looking at another drought?
504,"Cherry blossom season is expected to arrive in Tokyo a week earlier than usual this year, with full bloom expected on March 27."
505,Are we looking at another drought?
506,"Rodgers and his wife, Marilyn Rodgers, have brought their long-forgotten album back as a modern CD, adding five more tracks."
507,"Hayward resident Alexis Pulido Garcia, 28, was killed Tuesday night in a shooting."
508,"Overdose deaths down nationally, but spike in Massachusetts http://bhne.ws/fIv6W4d"
509,The fire was reported about 7:45 p.m. in the 1800 block of Young St. About 10 fire units were sent to the scene.
510,President Donald Trump's impeachment trial lurched into a final day of questions and answers Thursday before a crucial vote on calling witnesses -- even as attention focused on a Trump attorney's controversial defense and a Republican senator's effort to expose the whistleblower who started the impeachment probe.
511,"🏀 The second-ranked Bulldogs rode Filip Petrusev’s career night to an 87-72 win over Santa Clara, but their already shorthanded seven-man rotation dwindled to six after senior forward Killian Tillie exited with a left ankle injury."
512,"Let's take a look back at this successful season, game by game."
513,United Airlines and Delta Air Lines have announced they will reduce the number of flights to China starting over the next few days.
514,"100 Years Ago in Spokane: A man dubbed “Spokane’s Mystery Man” had local police authorities stumped. The man, pictured on the front page of the Spokane Daily Chronicle, said he did not know his own name and had no memory of anything to do with his past life."
515,The Dubs lacked energy in another losing effort.
516,PHOTO GALLERY: Central Washington University beat Simon Fraser University 84-77 Thursday evening in the Nicholson Pavillion.
517,No. 4 UConn extends AAC streak with 80-50 win over Cincy
518,"Celtics honor Kobe, run past struggling Warriors 119-104"
519,"If you’re seeking an apartment, you know how hard it can be to find a bargain nearby. So what does the low-end rental price in Willow Glen look like these days?"
520,"OPINION: Express yourself with a letter to the editor. Edward Lasky, of Hawaii Kai, writes, ""Is it then fortuitous that the tragic helicopter death of Kobe Bryant in similar weather conditions might serve to put the spotlight back on the Kauai crash just as it is fading from view?"" Read more:"
521,Supporters are already promising to try again with new legislation.
522,"For drug-burdened neighborhoods, pot shops aren’t a blessing http://bhne.ws/VovIfFQ"
523,"📺 TV Take from veteran sports writer Vince Grippi: Every time the CBS Sports’ broadcast of Gonzaga’s 87-72 hard-fought win over host Santa Clara went to commercial Thursday night, it sounded like March. Literally."
524,The plaintiffs allege they were injured by police during a contentious school board meeting.
525,"COLUMN: ""I saw a man walking his wife into the men’s room directly to an empty bathroom stall. He reasoned it was better to suffer slight embarrassment than to have his wife endure the agony of waiting in the long line for the ladies room outside and risk having an accident that could ruin their day."""
526,"The senator cited a series of recent crimes that were livestreamed and drew large Internet audiences, including an incident on Thursday in Montgomery, Ala., in which a man was shot to death while streaming a Facebook Live video. https://sfex.news/2Gy9ePA?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
527,Neo-swing band Cherry Poppin’ Daddies are bringing their own brand of genre-dynamic jazz back to Spokane on Saturday for a concert with the Spokane Symphony.
528,"The plaintiff says she would have never stayed at the Rancho Palos Verdes resort, which bills itself as a steward of the environment, had she known it was trapping so many animals."
529,The two sides have been feuding since 2015 over major issues such as health benefits and how much work American could hire out to contract companies.
530,The Mount Vernon School District is holding a contest to design the best logo for Harriet Rowley Elementary School.
531,"🏀 FINAL: Gonzaga 87, Santa Clara 72 - Petrusev (GU): 31 pts, 9 reb - Woolridge (GU): 13 pts, 6 ast - Timme (GU) 11 pts, 5 reb - Mitchell (SCU): 17 pts, 3-5 3pt bit.ly/36I1JQI"
532,Beaudry seeking 5th Hampden seat
533,"That would be $1,000,000,0000,000."
534,U.S. advises against travel to China; virus declared emergency http://bit.ly/2S0ZFOx
535,Are recycling companies paying thieves for these sawed-off parts?
536,Marcus Smart and Draymond Green are rare birds of a feather http://bhne.ws/IKaLCYp
537,"Philadelphia won the soda tax battle. But across the US, Big Soda is winning the war"
538,WHO declares global emergency
539,"HS basketball: Ciaglo, Earle lead Hopkins Academy to postseason"
540,Estranged husband accused of killing Jennifer Dulos dies
541,Symphony cancels Asia tour
542,Massachusetts Senate approves ‘net-zero’ environmental bills
543,Hatfield Select Board chooses Robert Flaherty Jr. as new fire chief
544,Sunny’s one to root for in ‘Dog Bowl III’
545,"Northampton, Easthampton mayors endorse Sen. Ed Markey"
546,Professor accused of hiding links to China released on bond
547,Dead Mexican activist’s family say people are afraid
548,Candidates take shots before Iowa vote
549,Woman who says Trump raped her seeks his DNA
550,Democrats fail to win support for witnesses
551,"Zayd Sadiq (31 points), Amherst run past Northampton"
552,"Republican Sen. Lamar Alexander of Tennessee will oppose calling more witnesses in President Donald Trump's impeachment trial, all but dashing Democratic efforts to hear more testimony and boosting odds the Senate will vote imminently to acquit without new testimony."
553,High schools: Delaney finished second on slalom at PVIAC meet
554,"First Panda, now possibly Hunter Pence. Can Angel Pagan be far behind?"
555,"Leading by 10 with 2:29 left, Riordan (16-2, 7-1 WCAL) let the Padres claw back in with a pair of 3-pointers from Ryan Wilson https://sfex.news/36G8PFu?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
556,😳
557,"Silverman brought “All in the Family,” “Roots,” “Hawaii Five-O” and other hit series and miniseries to television during his more than three-decade career."
558,"It’s been about four months since Dave Tibbs, known popularly as DJ “Uncle Dave,” went public with his plan to start a new radio station after Dec. 1 and return to his position as an on-air personality, but it wasn’t until last week the station went…"
559,Remember Michelle Wolf's infamous gig at the 2018 White House Correspondents Dinner? She'll be at the Spokane Comedy Club Friday and Saturday.
560,"Award-winning director and cinematographer Reed Morano has tackled dystopian futures in “The Handmaid’s Tale,” the end of the world in “I Think We’re Alone Now” and devastating grief in “Meadowland.” Her third feature film, “The Rhythm Section,” combines all these themes, though it has a bit more kick than her prior indies."
561,"""Addressing homelessness is crucial to improving the health of the communities we serve."""
562,🏀 Jessie Loera scored 14 points and Jill Townsend notched a double-double to lift No. 12 Gonzaga to a 57-46 win over San Diego on Thursday at McCarthey Athletic Center
563,"The RN&R's annual 95-word fiction contest showcases our readers' mastery of the form. This year's entries ranged from gut-bustingly funny to heart-wrenchingly poignant, and you can find the winners in this week's feature story."
564,Test results will take 48 to 72 hours
565,Crowds gathered today at Diamond Head Mortuary and outside of Honolulu Police Department (Official Site) headquarters to remember fallen police officer Tiffany-Victoria B. Enriquez. Read more: http://bit.ly/2O9L1Dy Photos: http://bit.ly/2uSKkaP See the full story in Friday's paper. 🎥: Allison Schaefers and Craig T. Kojima #hinews #honolulu #staradvertiser
566,Supporters are already promising to try again with new legislation.
567,"Market Musings: The idea has raised a few hackles among locals wondering if it’s OK to add housing to Union Square, the jewel of San Francisco destination shopping, but maybe they’re asking the wrong question. https://sfex.news/2uLeAnZ?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
568,"Despite “murder” already being in the title, the dark comedy musical “A Gentleman’s Guide to Love and Murder” opens with “Prologue: A Warning to the Audience” – meaning that if you elect to see this play, you really can’t say you weren’t warned."
569,"Legislators said not only would these bills reduce the impact of sunscreen pollution to Hawaii’s coral reefs and marine animals, but address concerns about certain sunscreen ingredients on human health."
570,Boston College QB Phil Jurkovec looking for a fresh start http://bhne.ws/Yclg3C5
571,"""I want anyone who sees my story, not just women, to know that anything is possible if you truly believe it and work for it."""
572,Nightlife in Miami! Check out the beauty and colors of Miami ahead of Super Bowl LIV. More photos here: https://bayareane.ws/31dJKkm
573,"The 49ers held their last press conference before Super Bowl LIV. Here, reporters Kerry Crowley and Cam Inman breaking down the team’s last comments before the big game. https://bayareane.ws/2GGcHf3"
574,"""Don't Shoot: An Opus of the Opulence of Blackness"" has affirmations for Black people and actions that white people and allies can take. https://sfwk.ly/38xmQ9V?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
575,Granby pins South Hadley on senior night
576,Warning: this story contains some risqué nomenclature -- Read these dancing double entendres with caution! 💃🕺
577,"In Japan, the hashtag #ChineseDontComeToJapan has been trending on Twitter."
578,"Mistakenly inserting a fuel nozzle into a fishing pole slot, a Florida man pumped $60 worth of gasoline onto the deck of his boat and the ground of a gas station, fire rescue officials said."
579,Tesla’s shares continued to surge despite word of a temporary shutdown of its Shanghai Gigafactory.
580,The pup prognosticators have spoken.
581,Soulfly are amping up for their hometown show.
582,"Senate Bill 50 by state Sen. Scott Wiener, D-San Francisco, fell short of passing a Senate floor vote with 18 senators voting yes and 15 voting no. https://sfex.news/2UbLol2?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
583,"China counted 9,692 confirmed cases of coronavirus with a death toll of 213, including 43 new fatalities, officials said Friday in Beijing. U.N. agency declares global emergency. http://bit.ly/2S0ZFOx"
584,"Teddy Bridgewater is going with his 🧠 over his ♥ for next season. But as for the playing time he got in 2019 after Drew Brees was injured? ""I wasn’t prepared and it humbled me."""
585,"FAIR HAVEN — Thirty-two minutes wasn't enough for Ryleigh Coloutti, but 36 certainly did the trick."
586,Tonight's starting 5️⃣ for No. 2 Gonzaga at Santa Clara ❗ Updates: bit.ly/36I1JQI
587,City leaders asked for an update on the Rays situation. Mayor Rick Kriseman wouldn’t give one in public.
588,The pup prognosticators have spoken.
589,The craft cocktail and dessert bar's young and talented owners were all born and raised in Oakland.
590,Coronavirus declared a global health emergency by World Health Organization http://bhne.ws/di8IiEQ
591,The U.S. State Department is advising travelers not to visit China after the World Health Organization’s identification of the coronavirus situation as a public health emergency.
592,Leave the conspicuous consuming and celebrity ballyhoo to the rubes; there's all sorts of real stuff to do in Miami.
593,"Jose Luis Gutierrez's blood ran cold when he heard one of his kidnappers tell another one to kill him inside a car on the side of a Mexican roadway, two days before Christmas."
594,@waechter_architecture new HQ in Mississippi Avenue will be the first 100 percent Cross-Laminated Timber building in Oregon. Wood from Austria.
595,The all-Mexican band—which features She Shreds Magazine founder Fabi Reyna on guitar—plays Green Bench with support from some of the grooviest bands in the area.
596,"The findings come at a critical moment for the bail reform debate in New Orleans. Under mayors Landrieu and Cantrell, the city has pushed judges to release more defendants without forcing them to pay a bondsman in order to reduce the city's jail population."
597,"“To those who contend that Mr. Dulos’ death reflects a consciousness of guilt, we say no,” his attorney said."
598,"A Jefferson County judge has declared a mistrial after a jury could not reach a verdict in an alleged child rape case involving Nathaniel Thomas Caylor, 39, of Port Townsend. Superior Court Judge Keith Harper called a hung jury Thursday following six hours of deliberations. #JeffersonCounty #JeffCoNews #PortTownsend #PortTownsendWA"
599,Enjoy samples of more than 100 beers from 45 different breweries at the Orlando Science Center's Orlando Brew Festival.
600,Our cover story this week: The pinball revival.
601,WATCH: Homeless Numbers Keep Adding Up in Dallas.
602,A Sedro-Woolley teen was named Wednesday the Boys & Girls Clubs of Skagit County's Youth of the Year. It was the second time Paula Banda received the honor.
603,"""... every day this part of town lingers in limbo, it’s costing this city money,"" writes city columnist Robert Wilonsky."
604,The fundamental difference between the civilian Hummer and the military Humvee is that when the civilian Hummer hits 55 it doesn't feel like you're strapped into a space capsule trying to re-enter Earth's atmosphere.
605,@blu_dot furniture store from Minneapolis opens in the Pearl District with @Gray_magazine
606,"The wreckage has been towed to a storage yard, where authorities will inspect the engines and gear boxes."
607,Funeral services were held for Honolulu police officer Tiffany Enriquez today. Read more: http://bit.ly/2O9L1Dy #hinews #honolulu #staradvertiser
608,"Strut your stuff, Durango. It's time for Snowdown's annual Drag Race and Fashion Show at El Rancho Tavern. It's packed and it's load, folks -- signs of an epic drag show!"
609,"The wreckage has been towed to a storage yard, where authorities will inspect the engines and gear boxes."
610,Head coach Todd Graham filled the third phase of his football coaching staff with the addition of Dan Phillips as special teams coordinator.
611,"“This is the next chapter for Mountain Middle School,” Head of School Shane Voss says. “We want to reach a more diverse population.”"
612,Holyoke High School administration takes action following fight during JV basketball game
613,"The clerk of Orleans Parish Criminal District Court threatened to furlough nearly his entire staff, which would bring the local criminal justice system to a virtual halt."
614,DOH said today that the person contracted the disease after traveling to Hawaii island in mid-December. An investigation was not able to identify an exact source of infection.
615,"Trump, Bloomberg make big plays with presidential campaign ads during the Super Bowl http://bhne.ws/MD430d6"
616,"""I want anyone who sees my story, not just women, to know that anything is possible if you truly believe it and work for it."""
617,"From a huge grass image in Pleasanton to a mural on a basketball court in the Philippines, here's a roundup of beautiful and unique tributes to Kobe Bryant and Gigi."
618,A #Sequim man was treated and discharged from Jefferson Healthcare hospital in #PortTownsend after his vehicle left the roadway on state Highway 104 and landed in a ditch. #ClallamCounty #JeffersonCounty
619,CASTLETON — Carley Patch doesn't miss a beat.
620,"“Yes, I’m at terminal now,” Kahaiali’i said after a 90-minute concert at the Blue Note Waikiki turned into a 2-hour performance on Wednesday night. “I’m still going to be rocking. I’m not going to stop. This cancer is not going to take me down, especially with all the blessings from each and every one of you. Praise God.” http://bit.ly/2GEfmpD"
621,Jazz hit Lex Land “like a lightning bolt” after she moved to Austin. Now she brings her unique blend of it to Monterey.
622,Bills that would raise the minimum wage and establish paid family and medical leave in Vermont are now on the governor's desk.
623,"In the next 30 years, as we add a projected 2.9 million more people to a metro population that’s already approaching 6 million, we truly will see the world represented in the faces of our neighbors near and far:"
624,"On top of its emphasis on global bookings, GroundUp Music Festival is a vehicle for artists to push themselves creatively."
625,"Parents, teachers and administrators at St. Peter Catholic School in Covington want to close portions of two streets during school hours. But residents who live near the school complained that they had not been informed of the school's efforts."
626,@blu_dot furniture store from Minneapolis opens in the Pearl District with @Gray_magazine
627,"""'Is it now?' asks Guy Tony Hale, lying prone on the floor when the lights come up on Wakey, Wakey, Will Eno’s almost-solo play now at American Conservatory Theater."" https://sfex.news/2U8whss?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
628,A murder mystery at Sunny Side Theatre Co.
629,The Grand Collab brings legendary New York City DJs Jellybean Benitez and DJ TONY TOUCH to the IRON COW on Friday.
630,"The Serious Soul collective welcomes the more nuanced touch of Euro-producer Michael Greene (aka Fort Romeau), who’s joined by Seattle’s Robby Clark and Bay area birthday girl Dani Orieta."
631,"That clears the way for a judge to potentially hold Lori Vallow in contempt of court, a legal move that could allow prosecutors to seek to have her extradited from Hawaii to Idaho to face charges."
632,ARTS & EVENTS: A folk music concert and a veterans memorial ceremony are among the upcoming activities on the #NorthOlympicPeninsula. #ClallamCounty #JeffersonCounty
633,"He faces a charge of indecency with a child-sexual contact that stems from an incident in 2005 involving an 8-year-old girl at Grapevine Faith Christian School, according to an arrest warrant affidavit."
634,Reporting on the suicide of a 9-year-old in Oregon City wasn't something Pamplin Media Group took lightly.
635,WATCH: Heim Cooking Up a Dallas Location
636,"For the first time in 20 years, Gonzaga will be represented in the NBA All-Star Game."
637,"An evening of dancing, socializing and honoring area veterans and Gold Star recipients is being organized by the auxiliaries of both the Hermiston VFW and American Legion."
638,"This week marks the 10th anniversary of Lil Wayne's album Rebirth, perhaps the most famous example of these ill-fated projects, which dropped to near-universal critical derision in 2010. Wayne's releasing a new album Friday called Funeral, but we're looking back at Rebirth and a couple of others that probably shouldn't have been wrought upon the listening public."
639,The two people up for open seats on the troubled Zoning Board of Appeals have both given money to Mayor Marty Walsh’s campaigns http://bhne.ws/JJo3tVx
640,"From a huge grass image in Pleasanton to a mural on a basketball court in the Philippines, here's a roundup of beautiful and unique tributes to Kobe Bryant and Gigi."
641,"""The main reasons we want to save this property are for future generations, for my grandchildren, their children, and for the planet. It’s a good feeling knowing that it’s going to be forever preserved."""
642,"A portion of border wall being built in California toppled in strong winds, falling on a busy street on the Mexican side, authorities said Thursday. No one was injured."
643,"PET OF THE WEEK: Frank, a young adult rabbit, is in desperate need of a forever home. Ellensburg Animal Shelter was informed that domestic rabbits had been set loose in Ellensburg and Frank is one of the offsprings that was brought to the shelter. He requires more supervision then a cat or dog because rabbits will test nibble on dangerous material such as electrical wires. The shelter recommends researching domestic rabbit ownership really well at House Rabbit Society or https://rabbit.org/. Rabbits may do well with other pets but this is strictly based on circumstances. Rabbits make good apartment pets but require lots of maintenance and supervision. The shelter said that Frank has been using the litter box inside his kennel. The shelter recommends Frank to be an indoor pet with outdoor privileges and supervision. Frank hasn't learned her name yet, and is open to a name change. Frank will be spayed before adoption. If Frank is no longer available at the shelter, there will still be other pets in need of a good home. To adopt a pet contact the shelter at (509) 962-7246 or visit 1007 Industrial Way, Ellensburg. ARRF Animal Rescue in Roslyn also offers a way for potential pet owners to adopt. Fees may vary."
644,"After his business partner was fatally shot near Audubon Park, New Orleans police searched his car. They allegedly found numerous counterfeit credit cards."
645,UMass not panicking about lack of results in second half
646,Those fluffy pillows are actually made of plaster...
647,Tickets to see Roger Waters at Heritage Bank Center go on sale tomorrow morning.
648,Today's the last day to take the Jeopardy! online test.
649,"Sales of classic beers like Bud Light have been dropping for nearly a decade as new choices hit the shelves. First, it was a host of craft beers. Now, there are fizzy, fruit-flavored hard seltzers like Truly, canned margaritas and vodka tonics and wine spritzers."
650,"Ferry County’s annual Ski Day has been canceled due to warm weather. The event was scheduled for Saturday, however the Republic, Wash. area did “not get the snow required to properly groom the trail for the event.”"
651,Mercy is also advising patients with respiratory symptoms who have traveled to China within the last 14 days or patients who have been exposed to suspected or confirmed cases of the coronavirus to go to Mercy’s emergency room for an evaluation.
652,"Kyle Shanahan has come a long way from losing his first 9 games with the 49ers. He said when he got that first win, it felt like winning the Super Bowl. https://bayareane.ws/2GCvVCn"
653,Did you even eat a meal if no one else saw it?
654,"According to the charges, he began sexually assaulting the child when she was 5 years old and continued the abuse for years."
655,"LAST CALL: Get your Online Dating War Story (in all it's horrifying, mortifying glory) to us by NOON TOMORROW if you want to try transforming that misery into cold hard cash!"
656,Some of the remarks made light of police brutality or involved racial stereotypes and Islamophobic comments.
657,"""The main reasons we want to save this property are for future generations, for my grandchildren, their children, and for the planet. It’s a good feeling knowing that it’s going to be forever preserved."""
658,"Cutest Couple Contest: Submit your photos for a chance to win big prizes -- including a night at the Boston Harbor Hotel, $300 gift card to Legal Sea Foods http://bhne.ws/U1kMN0D"
659,"Solemn faces watched as a motorcade led by solo bike officers escorted a hearse carrying Enriquez to the front of the headquarters where a dispatcher called out her name. When Enriquez didn’t respond, many observers shed tears. #HPD #HonoluluPolice #HiNews"
660,"""I was like, ‘Who? The Rock?!’ I turn around and all of a sudden he’s chest to chest with me. I almost fell off the stage. It was insane."""
661,Bored with minimalism? This whole house sparks joy.
662,"Congressman Derek Kilmer will hear from constituents during a town hall meeting at 5:30 p.m. Friday. The meeting, hosted by the Lower Elwha Klallam Tribe, will be at the Elwha Klallam Heritage Center, 401 E. First St. Doors will open 15 minutes prior to the listed start time. #ClallamCounty #PortAngeles #townhallmeeting"
663,"Mayor Cantrell owes more than $95,000 to the IRS for unpaid taxes over the course of six years, according to liens. “As the mayor disclosed in 2017, this matter is being addressed privately by the Cantrell family and their tax attorney,"" her spokesman said."
664,"Whether you're popping bottles, noshing on lemon-pepper wings, or negotiating the price of a shoulder rub so you can fling more of your life savings into the air, you never know what might happen within the friendly confines of local gentlemen’s clubs."
665,"Health officials confirmed Thursday that the first U.S. case of person-to-person transmission of coronavirus has occurred between a Chicago woman and her husband, who are both now receiving care in a Hoffman Estates hospital."
666,"U.S. Rep. Pramila Jayapal was working Thursday to verify a document showing that despite agency denials, Customs and Border Protection agents were ordered to detain Iranian and Iranian-American travelers at the U.S.-Canada border in Washington state early this month."
667,Winter Park’s Crealdé School of Art will debut a new exhibit commemorating the 100th anniversary of the Ocoee Massacre.
668,"Big Apple studio ace Kenny White’s been on tour with Stephen Stills and Judy Collins, but he brings the keyboard to a St. Petersburg art bungalow for a headlining set that’ll be filled with songs that’ve made him one of David Crosby’s favorite songwriters."
669,"Calling all motorbike lovers! Enter to win TWO WEEKEND PASSES ($180 value) to the amazingly fun The One Motorcycle Show ...with indoor dirt track racing?? YES, PLEASE"
670,"This year, for the first time in its six-year history, Safe Space Winter Shelter may have to close for two weeks mid-season. This is not ideal, volunteers told the CN&R. The approximately 60 homeless people who stay there each night include seniors with disabilities—some use wheelchairs or walkers—as well as families with infants. Find out more in this report by Ashiah Scharaga."
671,"The special burger, made with grass-fed beef and topped with combozola cheese, arugula and balsamic fig bacon jam, is big enough to share at $14. Other craft bar dishes could be sampled for less than $5, including a biscuit in pepper gravy, $4; ribeye tataki with watercress, $6; Mexican street corn with house-made tajin and white cheddar, $4; and bacon- braised collard greens, $5."
672,SLIDESHOW: EBESU Robata & Sushi is Plano takes you on a beautiful and delicious tour through some of North Texas' best sushi.
673,"Founder and executive director Daron Babcock says the new coffeeshop and farmers market are intended to continue to make Bonton Farms a gathering place, as it sits in the middle of a food desert in one of Dallas’ poorest neighborhoods."
674,"Monitors said the “safety, medical and mental health care, and environment conditions of inmates” have made “meaningful and noteworthy improvement” over the past 10 months."
675,Enter the funky world of Pam Kravetz's art via an elevator ride at 21c Museum Hotel.
676,"Instead of being asked how they became homeless in the point-in-time count survey, those questions will be asked as part of an annual assessment of homelessness throughout an entire year."
677,A SAMMIES Funk nominee plays The Torch Club on Friday night.
678,"""There is nothing in the world we live in that says race will have no part in the bleak outcome of the crisis. """
679,"Groundbreaking, noon, Friday at corner of Rainier Avenue and West Rainier Avenue"
680,Flights from China keep landing at Logan Airport and passengers are concerned about the lack of screenings at arrival. Laura Onyeneho reports.
681,"""I was like, ‘Who? The Rock?!’ I turn around and all of a sudden he’s chest to chest with me. I almost fell off the stage. It was insane."""
682,"The party will feature cocktails, cake and a special meet and greet with Johnson, who will sign autographs and take photos with fans."
683,"A corrections officer has been fired amid an ongoing investigation into how drugs are being smuggled into the Norfolk County Correctional Center, the sheriff’s office said http://bhne.ws/AMcfvV6"
684,"This new, laid-back Japanese eatery boasts significant culinary cred, including a chef and co-owner with Michelin stars."
685,"Featuring historic portraits and candid shots from 82 tribes, hunting, riding, sitting, performing rituals and rites before they were subsumed by Anglo colonization."
686,Sofia Kenin eyes bright lights of first Slam final
687,"NBA changing All-Star Game format, adding a Kobe tribute"
688,Gibbs brings Stewart and Labonte into NASCAR Hall of Fame
689,"Paralyzed at 19, Buoniconti has mixed feelings on football"
690,Nassar survivors offered $215M settlement by USA Gymnastics
691,Versatile race-car driver John Andretti dies at 56
692,"Saadiq belongs in the rarefied company of groove savants like Prince, Erykah Badu and Bilal."
693,"On Thursday, the Virginia House of Delegates approved seven Democratic-sponsored bills aimed at preventing gun violence, including universal background checks, a red-flag measure, the restoration of the state’s one-handgun-a-month law and other measures."
694,"The guy is a comedian, a singer, an actor and someone who likes to compose songs about his audience. And in the course of his show titled “Six Guitars,” he melts from one kind of music man to another — almost before listeners realize what happened. Chase Padgett brings “Six Guitars” to town Saturday night. #ClallamCounty #PortAngeles #music #entertainment #OlympicPeninsula"
695,How did Zach Line know it was time to retire? It wasn't easy -- but he knew it.
696,A House subcommittee is investigating popular dating services such as Tinder and Bumble for allegedly allowing minors and sex offenders to use their services.
697,JUST IN: He urged Oahu voters “to get involved in the upcoming elections and to exercise their precious right to vote.” #HCCL
698,A backlog at the only U.S. lab testing for the virus means the group possibly won't hear test results until the end of the week.
699,Howie Carr: Charlie Baker leaves taxpayers gassed http://bhne.ws/j6nIqxB
700,A Mount Vernon man pleaded guilty Thursday for his role in the 2017 shooting death of Jason Boyes. Issac Manuel Carrasco Jr. will be sentenced Wednesday.
701,NEW RECORD! It's the second consecutive year SJC set record-breaking passenger totals.
702,"Being good at looking sad? That's a big 10-4, spy fans! Being able to kill people good? Uhmm... well... let's just circle on back to that ""being good at looking sad"" bit!"
703,Caroline Polachek Headlines This Weeks Must-See Acts https://sfwk.ly/2S1qK45?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com
704,"Animal Planet’s Puppy Bowl XVI will feature two puppies – one from Colorado and one from New Mexico – in the fun, fur-filled event airing at 1 p.m. before the Super Bowl."
705,"The men are accused of smashing display cases on the first floor of the store and grabbing the gold jewelry, authorities said."
706,"The 2020 Bunbury Music Fest will feature Twenty One Pilots, Avett Brothers, Marshmello, Angels and Airwaves, Kane Brown, Melanie Martinez, Billy Strings, Old Crow Medicine Show, Oliver Tree, Cake, Blackbear and more"
707,"We all know the Super Bowl is coming, but what else is on your calendar this weekend?"
708,"Hey Atlanta, we're working on a future issue and want to know more about where your money goes. Everyone who submits an entry to the form in the article linked below will be entered in a drawing for a $100 Fifth Group Restaurants gift card:"
709,Dj Tennis and Danny Daze spend their summer evenings swapping tunes and sharing thoughts on their pasts as well as their futures.
710,"Fretland, a folk-rock band from Snohomish, will play Feb. 1 at the Sunset Tavern in, Seattle."
711,"Dolan: Amazon has changed the landscape of our world, causing people to lose retail jobs by the hundreds of thousands. Amazon is one of the most valuable companies in the world. It must step up and be a responsible corporate citizen. https://sfex.news/2tfWFFQ?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
712,"If you weren't able to snag a ticket for atmospheric jam band Umphrey's McGee at the Fillmore, worry not, likely Electric Forest-goer."
713,"#EDITORIAL The current minimum hourly rate, $10.10, does not go far enough. At the same time, their employers also struggle. Many of the smallest businesses in particular can’t afford to shoulder the entire burden of covering the mounting costs of living."
714,"AJJ tours through Orlando, with new music teetering between blues, lo-fi folk, pop and cosmic psychedelics."
715,He was a guest on the Dan Patrick Show Tuesday and expressed interest in following in his former coach Bobby Bowden’s footsteps and become a head coach at a college football program as soon as next year.
716,"More than a year after the Unity Center for Behavioral Health promised to follow applicable laws, officials for Multnomah and Washington counties continued to accuse the regional psychiatric facility of violating laws"
717,Eastern Oregon University head football coach Tim Camp is a big fan of the Pendleton Buckaroos. https://www.eastoregonian.com/sports/local/pendleton-s-sweek-mcgee-and-camp-join-the-mountaineers/article_dd561d94-430e-11ea-b8a4-b74052006586.html
718,"Inspired by NPR’s Tiny Desk series, the session will be filmed and released via YouTube every month."
719,Get your details here 👇
720,The sort of Old Fashioned you order from Cut & Bourbon in Arlington might reveal an essential truth about yourself.
721,"A federal judge on Thursday sentenced Donna Houston-Woods to seven years and three months in prison for accepting $50,000 in kickbacks for steering a school technology contract to a friend, who then botched the job."
722,"Wing Commander Paul Farnes, one of only three surviving members of The Few -- the group of fighter pilots who defended England during the Battle of Britain -- and the last surviving Battle of Britain ace, has died. He was 101."
723,"If you missed Johnny Carson on TV, you can see some episodes performed at STAB! Comedy Theater"
724,"Grab your studded belts and black eyeliner, y'all!"
725,"President Donald Trump is not the only one on trial in Washington, writes the Times editorial board."
